Id,Theme,Title,Description,Data,Version,Author (& affliation) /Year/...,Thumbnails,Embed Link,Live/Public Facing Link(s)
1,Actors,Peace Agreement Signatory Dashboard,A network dashboard template that maps out actor's involvement in peace and transition processes.,Peace Agreement Actor Dataset (PAA-X),"United Kingdom, United Nations, Russia, China, Qatar","Jinrui Wang, Niamh Henry, Benjamin Bach",peace-agreement-signatory-dashboard.png,https://peacerep.github.io/actor-network/country/UKG;,
2,NLP,Implementation Narratives + Interface,Tracks implementation records in accordance with peace agreement provisions by topics.,PAX + Implementation Reports,"PAX manual codes, Auto tagging topics","Roy Gardner, Jinrui Wang, Niamh Henry",implementation-narrative.png,https://implementation-narratives.onrender.com,"On South Sudan, Ukraine and PHL Trackers: https://pax.peaceagreements.org/tracker/south-sudan/narrative-implementation"
3,PA-X,PA-X Local Agreements Map,"A map visualizes all agreements that deal in some way with local issues, involve local actors, and deal with forms of local/communal violent conflict.",PAX Local,v7 data for pax local,"Tomas Vancisin, Niamh Henry",pax-local.png,https://tvancisin.github.io/local_agreements/,
4,Mediation,Sudan Mediation Analysis,GLO-PAD pilot data with Sudan and South Sudan visualisations.,GLO-PAD,,"Tomas Vancisin, Mateja Peter, Niamh Henry",south-sudan-mediation.png,https://south-sudan-mediation.onrender.com/,
5,Actors,Third Party in Peace Agreements Storytelling,"Scrollytelling application of Practical Third Party data. Includes involvement over time, by stage, space and with who.",Practical Third Party Signatories data (PAA-X Subset),v7 Practical Third Parties,"Tomas Vancisin, Mateja Peter, Niamh Henry",third-party-story.png,https://tvancisin.github.io/peace_scroll/#,
6,Tracker,Live process global map,Globe as alternative entry point to tracker. Idea is to get a world snapshot of how things are going in terms of conflict levels and ongoing processes,PAX/Tracker data,prototype,"Tomas Vancisin, Niamh Henry",tracker-globe.png,,https://globe-tracker.onrender.com
7,Actors,Peace Agreement Signatories Network Analysis,A deep dive into presence of absence of signatories in peace agreements using network analysis methodologies.,Peace Agreement Actor Dataset (PAA-X),prototype using v7 PAA-X,Roy Gardner,signatory-network-analysis.png,https://agreements-actors-jm3mmkozifmylnrtgjy4nb.streamlit.app/,https://peacerep.org/signatories-network-analysis/
8,NLP,Semantic Mapping: Peace Agreements — Constitutions,An analysis of how peace agreements influence subsequent constitutions using semantic mapping of similar provisions in their later consititutions.,PAX,PoC done and on PeaceRep Lab,Roy Gardner,semantic-mapping-constitutions.png,https://peacerep.github.io/agreement-constitution-mapping/index.html,https://peacerep.org/mapping-agreement-provisions-onto-constitution-texts/
9,Tracker,Ukraine Map,"""Our visualization of Ukraine conflict maps presents a comprehensive amalgamation of intricate data sourced from different portals. - Conflict violence data from ACLED, each dot depicts a record of battles, explosions/remote violence, protests, riots, strategic developments and violence against civilians - Deaths data from UCDP, covering deaths from state-based conflict, non-state conflict and one-sided conflict. - Ethnic makeup data from EPR, contributing critical context to the conflict. - Power Plants locations from global power plant database and OECD - Humanitarian corridors from research by PeaceRep and partners Together, these multi-faceted layers provide a rich and detailed representation of the complex dynamics and human impact of the Russian-Ukraine War.""","ACLED, UCDP, Humanitarian Corridors, Power Plants, Ethic Make Up",,"Sarah Schöttler, Benjamin Bach (UoE) , 2022 | Niamh Henry",ukraine-map.png,https://peacerep.github.io/ukraine-map/,https://pax.peaceagreements.org/tracker/ukraine/map
10,Tracker - timelines,Timelines of Institutional Change,"Interactive timelines to illustrate the formal change process in a selected country, including: peace agreements, local agreements, constitutional events, amnesties, elections, coups & other relevant events","PA-X, colpus, constitute, NELDA, other election data",v8 agreements added,"Niamh Henry, Sanja Badanjak, Christine Bell",tracker-timeline.png,,https://www.peaceagreements.org/tracker/afghanistan/timeline/
